Episode #0 Reward: -355.0748321503098, Entropy mean: 1.5910408419370652, Entropy std: 0.011249450048797932
Episode #1 Reward: -255.50622722728565, Entropy mean: 1.6005979704856872, Entropy std: 0.006953023362851038
Episode #2 Reward: -190.4888056660754, Entropy mean: 1.5696563106775283, Entropy std: 0.02378998952147491
Episode #3 Reward: -206.2912791087064, Entropy mean: 1.5702010202407837, Entropy std: 0.032544769257730546
Episode #4 Reward: -318.22538526133246, Entropy mean: 1.5977648210525512, Entropy std: 0.011226276229037407
Episode #5 Reward: -195.28431262548725, Entropy mean: 1.5767591470479965, Entropy std: 0.029331039862541982
Episode #6 Reward: -433.3869228471323, Entropy mean: 1.2566166172921658, Entropy std: 0.3512173728429447
Episode #7 Reward: -249.9878826430696, Entropy mean: 1.5362752127647399, Entropy std: 0.0552300141517353
Episode #8 Reward: -164.49713190902577, Entropy mean: 1.4760276991128922, Entropy std: 0.11734327827191753
Episode #9 Reward: -149.9726104328314, Entropy mean: 1.5372061681747438, Entropy std: 0.06400994467787184
Episode #10 Reward: -175.44194842065332, Entropy mean: 1.4670211565494538, Entropy std: 0.12198843337472118
Episode #11 Reward: -174.74380753960156, Entropy mean: 1.5000313979387283, Entropy std: 0.11789660286913818
Episode #12 Reward: -152.12587740600154, Entropy mean: 1.5569729721546173, Entropy std: 0.06817107016777128
Episode #13 Reward: -138.6542359110569, Entropy mean: 1.5610182803869248, Entropy std: 0.050174393957033006
Episode #14 Reward: -159.1487890841289, Entropy mean: 1.5417025583982467, Entropy std: 0.06163335069223919
Episode #15 Reward: -158.09666759601367, Entropy mean: 1.5738055688142776, Entropy std: 0.04113801717875885
Episode #16 Reward: -150.99023755696584, Entropy mean: 1.5595611000061036, Entropy std: 0.03787645671067951
Episode #17 Reward: -137.0655652499191, Entropy mean: 1.581182329058647, Entropy std: 0.025007656979412384
Episode #18 Reward: -157.22616815313765, Entropy mean: 1.574626077413559, Entropy std: 0.04996157557703996
Episode #19 Reward: -154.41355522194297, Entropy mean: 1.5689343279600143, Entropy std: 0.040557429797099476
Episode #20 Reward: -156.99962529918628, Entropy mean: 1.5805293720960618, Entropy std: 0.03852712040463601
Episode #21 Reward: -156.77842504537003, Entropy mean: 1.5740827435255051, Entropy std: 0.029010128887204424
Episode #22 Reward: -156.82565283071597, Entropy mean: 1.5774016040563583, Entropy std: 0.0334324263783536
Episode #23 Reward: -161.22673528983165, Entropy mean: 1.5849173790216446, Entropy std: 0.031970278587197955
Episode #24 Reward: -137.63969825987988, Entropy mean: 1.5801210713386535, Entropy std: 0.030048845171707105
Episode #25 Reward: -144.2042066838049, Entropy mean: 1.5712773704528809, Entropy std: 0.044422437992139414
Episode #26 Reward: -157.84594576138622, Entropy mean: 1.5903471958637239, Entropy std: 0.01907886894057925
Episode #27 Reward: -148.15468139461552, Entropy mean: 1.5859720540046691, Entropy std: 0.032155536706868014
Episode #28 Reward: -162.57467549295328, Entropy mean: 1.5865093398094177, Entropy std: 0.028257965506737787
Episode #29 Reward: -153.27043735016218, Entropy mean: 1.5887317270040513, Entropy std: 0.021075411062115926
Episode #30 Reward: -168.7123210112832, Entropy mean: 1.5946484661102296, Entropy std: 0.012308012727716039
Episode #31 Reward: -179.914047293033, Entropy mean: 1.5907188957929612, Entropy std: 0.021068068550185462
Episode #32 Reward: -149.40960731673076, Entropy mean: 1.5897131550312043, Entropy std: 0.019966051293940773
Episode #33 Reward: -486.14065371655977, Entropy mean: 1.4597205543518066, Entropy std: 0.14341106956771937
Episode #34 Reward: -220.39949028356972, Entropy mean: 1.5824784690141678, Entropy std: 0.03814660596593024
Episode #35 Reward: -205.07647622494304, Entropy mean: 1.5874506294727326, Entropy std: 0.014881685687050339
