Episode #61 Reward: -920.1606800263669, Entropy mean: 0.9638231139630079, Entropy std: 0.3659115344222777
Episode #62 Reward: -559.5410751008997, Entropy mean: 0.7368759557040175, Entropy std: 0.4767602147738663
Episode #63 Reward: -887.2709071168016, Entropy mean: 0.9647974929073826, Entropy std: 0.2998677748005866
Episode #64 Reward: -613.4512047436682, Entropy mean: 1.0884675963968038, Entropy std: 0.2520360622017648
Episode #65 Reward: -468.55582723481274, Entropy mean: 0.936606315150857, Entropy std: 0.33726352868084974
Episode #66 Reward: -879.0633704388626, Entropy mean: 1.03411010786891, Entropy std: 0.2580097706434775
Episode #67 Reward: -455.98851942009594, Entropy mean: 0.999664229080081, Entropy std: 0.34606219147892026
Episode #68 Reward: -632.5766063811122, Entropy mean: 0.7045005611446686, Entropy std: 0.41011284063026093
Episode #69 Reward: -665.7297416310996, Entropy mean: 0.9874342429917305, Entropy std: 0.37200329454231407
Episode #70 Reward: -574.9655061519421, Entropy mean: 1.03242595680058, Entropy std: 0.1937159939787867
Episode #71 Reward: -445.4271685666053, Entropy mean: 1.2356711211707443, Entropy std: 0.2653122155621842
Episode #72 Reward: -526.1620298226859, Entropy mean: 1.205092850816436, Entropy std: 0.27093640543558123
Episode #73 Reward: -621.000978132802, Entropy mean: 0.9969611248746514, Entropy std: 0.35709275127927415
Episode #74 Reward: -754.6515330013322, Entropy mean: 1.0611866530403495, Entropy std: 0.27765562815879696
Episode #75 Reward: -687.9279197970852, Entropy mean: 0.9527055001445115, Entropy std: 0.37977386995530826
Episode #76 Reward: -672.7706072915419, Entropy mean: 0.7729823899082839, Entropy std: 0.2712379848615978
Episode #77 Reward: -662.1616292762789, Entropy mean: 0.9719280783552676, Entropy std: 0.2784177090768299
Episode #78 Reward: -763.5516916458171, Entropy mean: 1.0006240679696203, Entropy std: 0.28385379525759113
Episode #79 Reward: -696.4099794391853, Entropy mean: 0.7575728382496163, Entropy std: 0.3704433848492205
Episode #80 Reward: -826.0302768521619, Entropy mean: 0.7756847857963294, Entropy std: 0.3820164647844326
Episode #81 Reward: -522.8516033710019, Entropy mean: 1.115763754080981, Entropy std: 0.2930026022918783
Episode #82 Reward: -577.7624250619233, Entropy mean: 0.9833173457533121, Entropy std: 0.28313393789016145
Episode #83 Reward: -1723.670282110015, Entropy mean: 0.4571304352567313, Entropy std: 0.4313203682658221
Episode #84 Reward: -626.9624702191492, Entropy mean: 1.030989397969097, Entropy std: 0.2701027349960656
Episode #85 Reward: -780.994854362059, Entropy mean: 0.8685129951871932, Entropy std: 0.26341422870295744
Episode #86 Reward: -794.0241444984312, Entropy mean: 1.000752087906003, Entropy std: 0.28748698428894254
Episode #87 Reward: -1313.2805101666252, Entropy mean: 0.8161332625709474, Entropy std: 0.3229079250680057
Episode #88 Reward: -641.7894924490029, Entropy mean: 0.8105430688895285, Entropy std: 0.3580207898139181
Episode #89 Reward: -644.2790705836254, Entropy mean: 0.935497933998704, Entropy std: 0.24147741112945317
Episode #90 Reward: -792.7762944850002, Entropy mean: 0.7825133295636624, Entropy std: 0.4241727384053389
Episode #91 Reward: -813.5282523334129, Entropy mean: 0.9674542683269829, Entropy std: 0.2968715633179451
Episode #92 Reward: -952.3677216166938, Entropy mean: 0.6548931943625211, Entropy std: 0.21832468893430027
Episode #93 Reward: -791.0376858168742, Entropy mean: 0.7280485871993005, Entropy std: 0.3528940106079469
Episode #94 Reward: -670.3020964303736, Entropy mean: 0.6610223478497937, Entropy std: 0.35751043049358805
Episode #95 Reward: -788.604056451862, Entropy mean: 0.9243324322998524, Entropy std: 0.26917205099690245
Episode #96 Reward: -637.4481488122375, Entropy mean: 0.9625046933162957, Entropy std: 0.34532035719478715
