Episode #0 Reward: -664.53728459696, Entropy mean: 1.440538328886032, Entropy std: 0.14679321731519757
Episode #1 Reward: -489.91321859693073, Entropy mean: 1.5618828919529915, Entropy std: 0.03600380412473554
Episode #2 Reward: -624.5324821919102, Entropy mean: 1.3294847230613231, Entropy std: 0.32538633860096944
Episode #3 Reward: -1012.6848012573346, Entropy mean: 1.2321807160973548, Entropy std: 0.28078670191660954
Episode #4 Reward: -796.6680968644949, Entropy mean: 1.4304425455629826, Entropy std: 0.17525608008476448
Episode #5 Reward: -1188.5522964820475, Entropy mean: 1.3364225034415722, Entropy std: 0.24551877772871908
Episode #6 Reward: -574.4294562110117, Entropy mean: 1.5095980724692344, Entropy std: 0.08841781834003841
Episode #7 Reward: -764.6910574265394, Entropy mean: 1.4076815681159496, Entropy std: 0.24917711601045073
Episode #8 Reward: -1640.4346841115178, Entropy mean: 1.2871953515335917, Entropy std: 0.33476888538600935
Episode #9 Reward: -1449.4125904624498, Entropy mean: 1.141657649166882, Entropy std: 0.3647091148570627
Episode #10 Reward: -676.2677993348212, Entropy mean: 1.4535365234315396, Entropy std: 0.15366242055281826
Episode #11 Reward: -880.9670730773545, Entropy mean: 1.3063204286247492, Entropy std: 0.2232457247702177
Episode #12 Reward: -822.4162844359187, Entropy mean: 1.3826172085851431, Entropy std: 0.18519794876890203
Episode #13 Reward: -1364.7499619997695, Entropy mean: 1.0714506052806974, Entropy std: 0.27899047297773577
Episode #14 Reward: -929.4544945609538, Entropy mean: 1.3427087531983852, Entropy std: 0.23177035160204604
Episode #15 Reward: -1352.452059980623, Entropy mean: 1.2249844077059242, Entropy std: 0.4589183967229498
Episode #16 Reward: -932.0248363023155, Entropy mean: 1.2655305160021089, Entropy std: 0.41111501337180945
Episode #17 Reward: -1836.9933947167438, Entropy mean: 1.2881927491724492, Entropy std: 0.17688191558874047
Episode #18 Reward: -855.5753008023146, Entropy mean: 1.3979985746741295, Entropy std: 0.22466003391466957
Episode #19 Reward: -822.901077886742, Entropy mean: 1.3288611833751203, Entropy std: 0.33014006944553864
Episode #20 Reward: -881.1247397909791, Entropy mean: 1.459265385568142, Entropy std: 0.2230365808848048
Episode #21 Reward: -1157.4275851709015, Entropy mean: 1.2976998752448707, Entropy std: 0.3246981365791935
Episode #22 Reward: -1181.391915412285, Entropy mean: 1.355083579570055, Entropy std: 0.20853265867652274
Episode #23 Reward: -1066.7303204414827, Entropy mean: 1.2926897053141146, Entropy std: 0.3276860242184154
Episode #24 Reward: -936.9320265056051, Entropy mean: 1.4478157605230808, Entropy std: 0.18422966955225575
Episode #25 Reward: -1035.653020752166, Entropy mean: 1.5016807782649995, Entropy std: 0.09479693754405465
Episode #26 Reward: -863.2852069758437, Entropy mean: 1.4475937542319297, Entropy std: 0.1835900837179756
Episode #27 Reward: -1303.409720848776, Entropy mean: 1.4747709268331528, Entropy std: 0.09580884449519415
Episode #28 Reward: -686.1732380429996, Entropy mean: 1.5683787241578102, Entropy std: 0.028527188573617464
Episode #29 Reward: -800.7281261051003, Entropy mean: 1.5459825775027276, Entropy std: 0.09088025840312512
Episode #30 Reward: -1208.202334344906, Entropy mean: 1.4812487915158272, Entropy std: 0.12353227338283855
Episode #31 Reward: -992.6505182372026, Entropy mean: 1.4866887506842614, Entropy std: 0.09912388928578574
Episode #32 Reward: -882.5950556249072, Entropy mean: 1.5016181445121766, Entropy std: 0.09181531933912489
Episode #33 Reward: -449.2351598082046, Entropy mean: 1.1386287389695644, Entropy std: 0.43488592153357447
Episode #34 Reward: -794.005870526928, Entropy mean: 1.2593115987759242, Entropy std: 0.5593971836035293
Episode #35 Reward: -694.3211682790812, Entropy mean: 0.5985788400271705, Entropy std: 0.6096724758474124
Episode #36 Reward: -1105.4833117865012, Entropy mean: 1.1778734706528484, Entropy std: 0.38486832606682536
Episode #37 Reward: -3544.4717178705814, Entropy mean: 0.8332210667617619, Entropy std: 0.4911924254485393
Episode #38 Reward: -4251.316920671909, Entropy mean: 0.9061013786494732, Entropy std: 0.26137355636547843
Episode #39 Reward: -754.3251454484038, Entropy mean: 1.309420577585697, Entropy std: 0.2637810587693797
Episode #40 Reward: -1178.587002387038, Entropy mean: 1.3369837317615747, Entropy std: 0.25632083192340105
Episode #41 Reward: -1660.3152694591506, Entropy mean: 1.0561149291694165, Entropy std: 0.19790983422457545
Episode #42 Reward: -1744.2663009094535, Entropy mean: 1.1734709019958973, Entropy std: 0.25938412591608867
Episode #43 Reward: -1263.3761228404312, Entropy mean: 1.2624777747690679, Entropy std: 0.23387799553596345
Episode #44 Reward: -2959.636679932906, Entropy mean: 0.8209193626837805, Entropy std: 0.4714690792073067
Episode #45 Reward: -1399.0182870594851, Entropy mean: 1.3616321529448032, Entropy std: 0.20068231760110075
Episode #46 Reward: -2467.916692844125, Entropy mean: 1.0019264721497894, Entropy std: 0.3751396233877949
Episode #47 Reward: -933.8859729816896, Entropy mean: 1.357515032440424, Entropy std: 0.1844752115334096
Episode #48 Reward: -1885.4932674561678, Entropy mean: 1.0616391665115952, Entropy std: 0.2996353209262568
Episode #49 Reward: -2277.9909988425984, Entropy mean: 1.0977919234894216, Entropy std: 0.4408063425990873
Episode #50 Reward: -1493.0673905633255, Entropy mean: 1.1421430457010866, Entropy std: 0.3358629443125643
Episode #51 Reward: -1934.611075035473, Entropy mean: 0.8243053615186973, Entropy std: 0.5623413747231073
Episode #52 Reward: -3670.004718132473, Entropy mean: 0.5900421899575935, Entropy std: 0.4220252350077209
Episode #53 Reward: -797.5589597616819, Entropy mean: 1.1979160203784704, Entropy std: 0.3351214079401754
Episode #54 Reward: -560.6229293917107, Entropy mean: 1.4727075770497322, Entropy std: 0.07346617955432813
Episode #55 Reward: -429.5263781733637, Entropy mean: 1.4829603715240955, Entropy std: 0.1523433282100031
Episode #56 Reward: -1515.248697156436, Entropy mean: 1.4112821838259697, Entropy std: 0.13751851728244943
Episode #57 Reward: -1490.9431186736197, Entropy mean: 1.3713235779106616, Entropy std: 0.19081645615505166
Episode #58 Reward: -530.9295063852376, Entropy mean: 1.4266494372487069, Entropy std: 0.08573804032119885
Episode #59 Reward: -1766.8443663835749, Entropy mean: 1.3655928525328636, Entropy std: 0.1416611065509657
Episode #60 Reward: -949.3795826352638, Entropy mean: 1.4684957659244537, Entropy std: 0.10871658067846388
Episode #61 Reward: -809.9178274449258, Entropy mean: 1.346044274866581, Entropy std: 0.19932503426643347
Episode #62 Reward: -653.1359982695042, Entropy mean: 1.4216158685088158, Entropy std: 0.16144059076655387
Episode #63 Reward: -699.2965552475497, Entropy mean: 1.4661282941699028, Entropy std: 0.10557508445412524
Episode #64 Reward: -495.8104959816066, Entropy mean: 1.510680097490549, Entropy std: 0.10446799829982721
Episode #65 Reward: -1605.8580537471757, Entropy mean: 1.1929601304233075, Entropy std: 0.30529153405418447
Episode #66 Reward: -2031.1969010106081, Entropy mean: 1.0238242971524596, Entropy std: 0.3680294523870021
Episode #67 Reward: -2274.502018562539, Entropy mean: 1.0317400224879385, Entropy std: 0.3121908796845921
Episode #68 Reward: -2555.484299889903, Entropy mean: 0.8237117867663619, Entropy std: 0.3943884511160486
Episode #69 Reward: -1710.67081024936, Entropy mean: 1.0248522383254022, Entropy std: 0.3759534627045504
Episode #70 Reward: -1392.6210042392981, Entropy mean: 0.7900013455146109, Entropy std: 0.4428349792851842
Episode #71 Reward: -1897.2621244146005, Entropy mean: 1.1347056365571917, Entropy std: 0.2999819870743078
Episode #72 Reward: -1464.593023636079, Entropy mean: 1.194527041092515, Entropy std: 0.3538661877655579
Episode #73 Reward: -1391.0045951063812, Entropy mean: 1.1174261505156755, Entropy std: 0.30476090501248526
Episode #74 Reward: -2503.217308251663, Entropy mean: 0.8174610467000654, Entropy std: 0.4338538731741773
Episode #75 Reward: -3316.290825935966, Entropy mean: 0.7580853763836786, Entropy std: 0.44962502389430015
Episode #76 Reward: -3255.6283134564856, Entropy mean: 0.7598576410411624, Entropy std: 0.41665437094147173
Episode #77 Reward: -3100.578565696115, Entropy mean: 0.7938188480486861, Entropy std: 0.48904188933397424
Episode #78 Reward: -4519.460738804682, Entropy mean: 0.46899717330868496, Entropy std: 0.4502271054771581
Episode #79 Reward: -2417.246164438726, Entropy mean: 0.6651503337583636, Entropy std: 0.43804533570396076
Episode #80 Reward: -3539.2572871843495, Entropy mean: 0.6842297160377772, Entropy std: 0.5140487946739818
Episode #81 Reward: -3494.526303112039, Entropy mean: 0.5358695289832576, Entropy std: 0.5007255641174351
