Episode #0 Reward: -1267.0252790841043, Entropy mean: 1.5373803383111955, Entropy std: 0.05673013615621071
Episode #1 Reward: -1089.2144823536848, Entropy mean: 1.5417049260934195, Entropy std: 0.05869839158072181
Episode #2 Reward: -1279.7903372284286, Entropy mean: 1.437977945804596, Entropy std: 0.14327134706929878
Episode #3 Reward: -1001.2667055464893, Entropy mean: 1.5674463393290838, Entropy std: 0.04537074394793521
Episode #4 Reward: -1014.3905979505229, Entropy mean: 1.5330839407444001, Entropy std: 0.06908211169007016
Episode #5 Reward: -1404.1405264545228, Entropy mean: 1.4595466631650924, Entropy std: 0.1287250756799925
Episode #6 Reward: -1528.4308601928387, Entropy mean: 1.527834291656812, Entropy std: 0.09198382261256378
Episode #7 Reward: -1990.3020216101688, Entropy mean: 1.4820615379015605, Entropy std: 0.08616843249488894
Episode #8 Reward: -1164.7040353567659, Entropy mean: 1.5559656129280726, Entropy std: 0.049342077381152524
Episode #9 Reward: -1441.5664117749923, Entropy mean: 1.3988999274373055, Entropy std: 0.17170228028216675
Episode #10 Reward: -1601.9804154834287, Entropy mean: 1.3835496019820372, Entropy std: 0.20778235904344494
Episode #11 Reward: -2150.674707141523, Entropy mean: 1.3310809617737929, Entropy std: 0.2587731097237001
Episode #12 Reward: -1474.88451195693, Entropy mean: 1.2271173471212387, Entropy std: 0.27296024333861274
Episode #13 Reward: -1408.377549977637, Entropy mean: 1.36968245357275, Entropy std: 0.20568230427589004
Episode #14 Reward: -2245.820426689603, Entropy mean: 1.1699218920742471, Entropy std: 0.34465863907523336
Episode #15 Reward: -999.2358346575968, Entropy mean: 1.1243563643819652, Entropy std: 0.40944202574105537
Episode #16 Reward: -1625.0825631435875, Entropy mean: 1.017511477743101, Entropy std: 0.44195477389122356
Episode #17 Reward: -1199.9192454287045, Entropy mean: 1.3339949718117714, Entropy std: 0.2942028120304465
Episode #18 Reward: -4345.823028937452, Entropy mean: 1.0941374607696586, Entropy std: 0.4309529509770404
