Episode #0 Reward: -737.7318403774607, Entropy mean: 1.5566255009174348, Entropy std: 0.026002690109931833
Episode #1 Reward: -612.4618150636803, Entropy mean: 1.547561643719673, Entropy std: 0.0514249112156136
Episode #2 Reward: -585.9880325934372, Entropy mean: 1.4558676052093507, Entropy std: 0.12033579377785175
Episode #3 Reward: -746.9552033414863, Entropy mean: 1.437469671368599, Entropy std: 0.09313403554166239
Episode #4 Reward: -810.7095292251381, Entropy mean: 1.4472353209555149, Entropy std: 0.16764775136221416
Episode #5 Reward: -1438.7926002267789, Entropy mean: 1.2076234878599643, Entropy std: 0.34665349713388294
Episode #6 Reward: -922.0435901072788, Entropy mean: 1.4223259136080741, Entropy std: 0.24583726238925477
Episode #7 Reward: -799.3542449078665, Entropy mean: 1.4649336220324038, Entropy std: 0.14130617314344784
Episode #8 Reward: -557.5045543495562, Entropy mean: 1.436813231408596, Entropy std: 0.12657642886259696
Episode #9 Reward: -749.7560714422534, Entropy mean: 1.3307038252055645, Entropy std: 0.1794590301791035
Episode #10 Reward: -511.67823869477877, Entropy mean: 1.470038488060236, Entropy std: 0.14868836434406227
Episode #11 Reward: -1093.745719545918, Entropy mean: 1.287379515171051, Entropy std: 0.22671738849423037
Episode #12 Reward: -727.5211287819299, Entropy mean: 1.3322011587023734, Entropy std: 0.1700092257235621
Episode #13 Reward: -876.048244284918, Entropy mean: 1.1733044279366731, Entropy std: 0.31776492379159194
Episode #14 Reward: -682.3422481423821, Entropy mean: 1.3228681682795287, Entropy std: 0.29793028766262863
Episode #15 Reward: -1484.3787798357841, Entropy mean: 0.782437313683331, Entropy std: 0.34123403288506343
Episode #16 Reward: -844.014581731193, Entropy mean: 1.0521451105177402, Entropy std: 0.26229139703929016
Episode #17 Reward: -414.51775880780167, Entropy mean: 1.2368231475353242, Entropy std: 0.20142731174678574
Episode #18 Reward: -494.2286546381232, Entropy mean: 1.321619760543108, Entropy std: 0.1729822796033553
Episode #19 Reward: -501.78977280331475, Entropy mean: 1.350864466279745, Entropy std: 0.14487105578065793
Episode #20 Reward: -656.1288517245732, Entropy mean: 1.385103252530098, Entropy std: 0.1630791952085573
Episode #21 Reward: -1116.0807324527727, Entropy mean: 0.9902534948126412, Entropy std: 0.4608754904838547
Episode #22 Reward: -1519.0653225691617, Entropy mean: 0.8426652096403996, Entropy std: 0.39106304305652706
Episode #23 Reward: -850.6434448986394, Entropy mean: 0.9067626866512001, Entropy std: 0.3663593211570274
Episode #24 Reward: -643.9140499330623, Entropy mean: 1.25623849529773, Entropy std: 0.3204913392639703
Episode #25 Reward: -706.4902239801932, Entropy mean: 1.1861170402914285, Entropy std: 0.2194927777805789
Episode #26 Reward: -795.9357071927463, Entropy mean: 1.257398413270712, Entropy std: 0.22448583362078328
Episode #27 Reward: -721.8108913280744, Entropy mean: 1.2329985707253217, Entropy std: 0.2813435529389755
Episode #28 Reward: -673.3673318388635, Entropy mean: 1.1167799549549817, Entropy std: 0.26079938102037886
Episode #29 Reward: -479.4449043917649, Entropy mean: 1.3716203273832799, Entropy std: 0.17622384016148326
Episode #30 Reward: -937.8465565520345, Entropy mean: 0.8725339480489492, Entropy std: 0.32189741724527327
Episode #31 Reward: -757.9324204948504, Entropy mean: 0.9591295864619315, Entropy std: 0.4459326443860303
Episode #32 Reward: -648.2816021576093, Entropy mean: 1.0722445183619858, Entropy std: 0.3156659799795735
Episode #33 Reward: -483.9115646115759, Entropy mean: 1.0859240465052427, Entropy std: 0.3179350307355316
Episode #34 Reward: -803.1717016052407, Entropy mean: 1.018859852924943, Entropy std: 0.2905077689720932
Episode #35 Reward: -536.7874339338616, Entropy mean: 1.0237073693983256, Entropy std: 0.30917722459226155
Episode #36 Reward: -581.7420339717767, Entropy mean: 0.88175935883075, Entropy std: 0.37046636662949656
Episode #37 Reward: -636.7602721652771, Entropy mean: 1.0230688644945622, Entropy std: 0.2504358939566272
Episode #38 Reward: -917.7025706575068, Entropy mean: 0.8176313226576895, Entropy std: 0.3493426634640722
Episode #39 Reward: -474.96164665284215, Entropy mean: 0.6797146872268058, Entropy std: 0.4969889283333464
Episode #40 Reward: -623.0330375237, Entropy mean: 1.0596157770976424, Entropy std: 0.30020606679145323
Episode #41 Reward: -620.2582835467292, Entropy mean: 1.0591310366615654, Entropy std: 0.3339599590670986
Episode #42 Reward: -636.1722816453936, Entropy mean: 0.7328529444317502, Entropy std: 0.49212981082307017
Episode #43 Reward: -918.6461342241732, Entropy mean: 0.4745577232853975, Entropy std: 0.4678432675754916
Episode #44 Reward: -1099.9806300958833, Entropy mean: 0.2325365851866519, Entropy std: 0.31595320179801256
Episode #45 Reward: -494.72424710786464, Entropy mean: 0.6405528595433861, Entropy std: 0.3557671595431295
Episode #46 Reward: -488.6705726398754, Entropy mean: 1.02850435487926, Entropy std: 0.31803773151404663
Episode #47 Reward: -649.1402888260651, Entropy mean: 0.8361996722314506, Entropy std: 0.3823846436922114
Episode #48 Reward: -782.812055092551, Entropy mean: 0.809568397521507, Entropy std: 0.4404561608499886
Episode #49 Reward: -1101.8339061244533, Entropy mean: 0.6549440701969433, Entropy std: 0.3625488648042499
Episode #50 Reward: -592.1103802101247, Entropy mean: 0.9215244668349624, Entropy std: 0.29577393170235217
Episode #51 Reward: -789.5837778379896, Entropy mean: 0.844523390121758, Entropy std: 0.2931120928348898
Episode #52 Reward: -657.3322930729727, Entropy mean: 0.47483482757525053, Entropy std: 0.2927190529679513
Episode #53 Reward: -719.6023179281007, Entropy mean: 0.8385817327909172, Entropy std: 0.32197619755351653
Episode #54 Reward: -590.6943779380341, Entropy mean: 1.0540477843955158, Entropy std: 0.26980137899250656
Episode #55 Reward: -606.3716796380374, Entropy mean: 0.9883533935900778, Entropy std: 0.33399379956985265
Episode #56 Reward: -1475.0311480880978, Entropy mean: 0.7426154501363635, Entropy std: 0.32328499061437627
Episode #57 Reward: -736.8164801667938, Entropy mean: 0.9475586806237698, Entropy std: 0.31125508577481836
Episode #58 Reward: -837.6856510017615, Entropy mean: 0.7909999859519303, Entropy std: 0.4861360029272121
Episode #59 Reward: -833.1012282638607, Entropy mean: 0.9466196286678314, Entropy std: 0.32102674740094433
Episode #60 Reward: -874.6433568290838, Entropy mean: 0.8288161380589009, Entropy std: 0.3189755539823383
Episode #61 Reward: -580.6425158662332, Entropy mean: 0.8273884506896139, Entropy std: 0.3088894803126745
Episode #62 Reward: -733.7039579514277, Entropy mean: 0.9440816350653768, Entropy std: 0.2466794422637273
Episode #63 Reward: -931.8614351779572, Entropy mean: 0.7297238572128117, Entropy std: 0.35463584973548
Episode #64 Reward: -1127.9961415064988, Entropy mean: 0.7553778156079352, Entropy std: 0.39281542404533265
Episode #65 Reward: -798.1712205166032, Entropy mean: 0.9603653545677662, Entropy std: 0.3091317486241868
Episode #66 Reward: -645.5102267658896, Entropy mean: 1.0059603168442846, Entropy std: 0.2939184605157302
Episode #67 Reward: -596.2497631728081, Entropy mean: 0.9449822268635034, Entropy std: 0.34044420818893584
Episode #68 Reward: -660.2038099019585, Entropy mean: 1.1116613709181546, Entropy std: 0.24956250999667337
Episode #69 Reward: -1068.2506966555152, Entropy mean: 0.9266760250367224, Entropy std: 0.31179805246532627
Episode #70 Reward: -548.7250152972181, Entropy mean: 1.1495875192806124, Entropy std: 0.24539114259538883
Episode #71 Reward: -593.2147980096715, Entropy mean: 0.8990044150128961, Entropy std: 0.2755478739674375
Episode #72 Reward: -895.2139181093646, Entropy mean: 0.8312785963853822, Entropy std: 0.3312808870869273
Episode #73 Reward: -1183.9803397181267, Entropy mean: 0.8253267307020724, Entropy std: 0.3479615786203205
Episode #74 Reward: -1187.9385945456816, Entropy mean: 0.705608309591189, Entropy std: 0.37775757181795144
Episode #75 Reward: -653.2752800330212, Entropy mean: 0.6300017436820053, Entropy std: 0.5601855681033422
Episode #76 Reward: -671.0147281172354, Entropy mean: 0.898338812359143, Entropy std: 0.40349378905593114
Episode #77 Reward: -781.2595855725198, Entropy mean: 0.8657966815389228, Entropy std: 0.4311093812842535
Episode #78 Reward: -999.3469579310578, Entropy mean: 0.7844933701539412, Entropy std: 0.33461605717419174
Episode #79 Reward: -616.4126363774378, Entropy mean: 0.9000452378357295, Entropy std: 0.33340076316747635
Episode #80 Reward: -803.7388530639917, Entropy mean: 0.4629519333863562, Entropy std: 0.43881394312322164
Episode #81 Reward: -617.1938540492367, Entropy mean: 0.6301888598272225, Entropy std: 0.4485144457076559
Episode #82 Reward: -619.1710532071459, Entropy mean: 0.24075784301579659, Entropy std: 0.35872792000982684
Episode #83 Reward: -681.3036821772903, Entropy mean: 0.8691218918372579, Entropy std: 0.36689864921569065
