Episode #61 Reward: -868.6000767189912, Entropy mean: 0.20986657851759655, Entropy std: 0.34191904285673674
Episode #62 Reward: -6093.961692595024, Entropy mean: 3.078299041892474e-39, Entropy std: 3.782950763511194e-38
Episode #63 Reward: -1489.7602963672628, Entropy mean: 0.20728828392557438, Entropy std: 0.370296250445803
Episode #64 Reward: -438.8628739999335, Entropy mean: 0.18364232361026392, Entropy std: 0.29743039128195126
Episode #65 Reward: -1018.2024246982343, Entropy mean: 0.293555031999537, Entropy std: 0.36359341384873284
Episode #66 Reward: -1269.8234514508815, Entropy mean: 0.3563657812156096, Entropy std: 0.43379872425822447
Episode #67 Reward: -663.9291777772281, Entropy mean: 0.3307088479721358, Entropy std: 0.42671165801119865
Episode #68 Reward: -1290.5821019437603, Entropy mean: 0.4483390329412548, Entropy std: 0.4878494051530104
Episode #69 Reward: -734.7355322423205, Entropy mean: 0.3056325435548573, Entropy std: 0.4076206095819166
Episode #70 Reward: -538.3837548887888, Entropy mean: 0.4775386708757521, Entropy std: 0.5369544106405693
Episode #71 Reward: -471.3856832470323, Entropy mean: 0.3588318601963998, Entropy std: 0.486361504638811
Episode #72 Reward: -616.3811564424568, Entropy mean: 0.25512723550007793, Entropy std: 0.4171701669973395
Episode #73 Reward: -808.5056750458085, Entropy mean: 0.23105377291222454, Entropy std: 0.373147577127312
Episode #74 Reward: -891.6617183879792, Entropy mean: 0.41700229009509937, Entropy std: 0.526814299661998
Episode #75 Reward: -1015.2204934267677, Entropy mean: 0.2891868889134943, Entropy std: 0.4345279357754562
Episode #76 Reward: -2964.9449705344055, Entropy mean: 0.14822847443215573, Entropy std: 0.27330256673168446
Episode #77 Reward: -5971.120264104765, Entropy mean: 0.006899201687882419, Entropy std: 0.03384831656479118
Episode #78 Reward: -6194.45132800471, Entropy mean: 0.004800808993086118, Entropy std: 0.049225284570528625
Episode #79 Reward: -6007.793556528899, Entropy mean: 0.021655847933274193, Entropy std: 0.10116571831724144
Episode #80 Reward: -2280.77957723533, Entropy mean: 0.06115827495267896, Entropy std: 0.15382865866985798
Episode #81 Reward: -3180.046950371266, Entropy mean: 0.16714485010946603, Entropy std: 0.2745504604784851
Episode #82 Reward: -4730.88706286796, Entropy mean: 0.24230290715568117, Entropy std: 0.35886946249213214
Episode #83 Reward: -5237.727926448397, Entropy mean: 0.25184124708056627, Entropy std: 0.3444292788884864
Episode #84 Reward: -4203.75966389946, Entropy mean: 0.2353583130671177, Entropy std: 0.33181730669558823
Episode #85 Reward: -6197.828443472911, Entropy mean: 0.274658430681784, Entropy std: 0.3838787216753399
Episode #86 Reward: -6939.773065505871, Entropy mean: 8.263014999433905e-09, Entropy std: 2.9348919965005374e-08
Episode #87 Reward: -4849.863711232817, Entropy mean: 0.28809237484361033, Entropy std: 0.3657229490087073
Episode #88 Reward: -4967.298758078179, Entropy mean: 0.2769222486717626, Entropy std: 0.35299413687368514
Episode #89 Reward: -6580.110319333973, Entropy mean: 0.0007580289103079469, Entropy std: 0.002969150962309705
Episode #90 Reward: -3351.7048835893565, Entropy mean: 0.03877864858145344, Entropy std: 0.14274786102014195
Episode #91 Reward: -490.26597584567526, Entropy mean: 0.007663314391832076, Entropy std: 0.05192770345737012
Episode #92 Reward: -1346.8932217397298, Entropy mean: 0.013841878918629797, Entropy std: 0.07659999438697787
Episode #93 Reward: -2980.526379101583, Entropy mean: 0.003186614541578598, Entropy std: 0.03802924930222584
Episode #94 Reward: -4183.816075851693, Entropy mean: 0.014815093639490195, Entropy std: 0.08097221584927554
Episode #95 Reward: -3373.9641485683806, Entropy mean: 0.0036762659412553373, Entropy std: 0.04094560464010572
Episode #96 Reward: -5940.193091360056, Entropy mean: 0.00794203386778801, Entropy std: 0.06417032492286422
Episode #97 Reward: -6252.414191551038, Entropy mean: 0.009479951590258946, Entropy std: 0.06426121818594835
Episode #98 Reward: -3866.294661077978, Entropy mean: 0.007459859624208971, Entropy std: 0.052287837313448694
Episode #99 Reward: -6340.812490765377, Entropy mean: 0.00017631145588302075, Entropy std: 0.002685553410398181
Episode #100 Reward: -359.71104258004317, Entropy mean: 1.6418208833783865e-05, Entropy std: 0.0003279534645991496
Episode #101 Reward: -593.7650109202898, Entropy mean: 0.002510565555611827, Entropy std: 0.03477466689038101
Episode #102 Reward: -519.8778667939645, Entropy mean: 0.025164616862641292, Entropy std: 0.10528571627609533
Episode #103 Reward: -5768.322051255642, Entropy mean: 0.06773706683683697, Entropy std: 0.17235725293618676
Episode #104 Reward: -5061.664516471602, Entropy mean: 0.002924949314702076, Entropy std: 0.029652483742758362
Episode #105 Reward: -5906.936407846603, Entropy mean: 0.056333263035348614, Entropy std: 0.16302424614744315
Episode #106 Reward: -4683.744793696147, Entropy mean: 0.010509425794793215, Entropy std: 0.0648499539941739
Episode #107 Reward: -1982.2114221174295, Entropy mean: 0.09938353626535722, Entropy std: 0.19591308548844044
Episode #108 Reward: -2668.85665819813, Entropy mean: 0.027772120938295605, Entropy std: 0.112843150022223
Episode #109 Reward: -6109.290740626159, Entropy mean: 4.154504839148582e-15, Entropy std: 6.428194579845163e-14
Episode #110 Reward: -5999.477685995544, Entropy mean: 0.005459437117346501, Entropy std: 0.05384158516201741
Episode #111 Reward: -4998.683676256852, Entropy mean: 0.01229652990908716, Entropy std: 0.0778206626194831
Episode #112 Reward: -5229.751473878152, Entropy mean: 0.012680646108443085, Entropy std: 0.08307953897156349
Episode #113 Reward: -5414.251686603909, Entropy mean: 0.0032099059418319686, Entropy std: 0.03812531032214561
Episode #114 Reward: -4580.8547754998535, Entropy mean: 0.007429673490075907, Entropy std: 0.05784268481576174
Episode #115 Reward: -6220.136944983811, Entropy mean: 0.0005909634387512036, Entropy std: 0.007418240198215558
Episode #116 Reward: -693.8646125837948, Entropy mean: 0.0015996585147857597, Entropy std: 0.020998563987195015
Episode #117 Reward: -1366.841979557862, Entropy mean: 0.0051149119911846905, Entropy std: 0.04576576835652252
Episode #118 Reward: -6156.911502199672, Entropy mean: 0.008455315996157113, Entropy std: 0.06463810626981543
Episode #119 Reward: -5286.680202372706, Entropy mean: 0.009357751992240653, Entropy std: 0.07118507051524671
Episode #120 Reward: -1243.4031760698433, Entropy mean: 0.004900872859441803, Entropy std: 0.048324607574205466
