Episode #0 Reward: -1085.1674059454697, Entropy mean: 1.4928780074914296, Entropy std: 0.13155704574582505
Episode #1 Reward: -1798.3722610440468, Entropy mean: 1.1447911074385047, Entropy std: 0.47914002340264494
Episode #2 Reward: -1533.167547656505, Entropy mean: 0.9963840240178009, Entropy std: 0.5026652353714514
Episode #3 Reward: -1032.1906506145087, Entropy mean: 1.4350636753439903, Entropy std: 0.21005991712327574
Episode #4 Reward: -1179.7449523020914, Entropy mean: 0.7591473683237564, Entropy std: 0.5373370222021865
Episode #5 Reward: -1158.9608880691676, Entropy mean: 0.9357109284744729, Entropy std: 0.5992847157838013
Episode #6 Reward: -1148.3466396052647, Entropy mean: 1.5301844143867493, Entropy std: 0.06063875124373213
Episode #7 Reward: -1739.575186289006, Entropy mean: 1.106805392379562, Entropy std: 0.36188158678855153
Episode #8 Reward: -1800.6850582140978, Entropy mean: 1.3230985139807065, Entropy std: 0.2170662753981484
Episode #9 Reward: -1519.0304937451046, Entropy mean: 1.2762668820222218, Entropy std: 0.2773932432364943
Episode #10 Reward: -1778.8581658767428, Entropy mean: 1.0271871318419774, Entropy std: 0.40882952334656153
Episode #11 Reward: -1373.9957075540706, Entropy mean: 1.2742950387795766, Entropy std: 0.2339063369972034
Episode #12 Reward: -1502.5894220760754, Entropy mean: 1.2454399541020393, Entropy std: 0.2932687205496513
Episode #13 Reward: -1112.5199388784474, Entropy mean: 1.281314948350191, Entropy std: 0.2939863451794974
Episode #14 Reward: -1014.0284136799352, Entropy mean: 1.3208256409441432, Entropy std: 0.2932497141389407
Episode #15 Reward: -1311.8470286382992, Entropy mean: 1.093819794965287, Entropy std: 0.4076623834310437
Episode #16 Reward: -1410.1419413545846, Entropy mean: 1.2803015255928039, Entropy std: 0.16362139507972123
Episode #17 Reward: -885.6445998541374, Entropy mean: 1.3073120740552744, Entropy std: 0.21894365721951817
Episode #18 Reward: -1706.9428378022428, Entropy mean: 0.7974870391531537, Entropy std: 0.49387038123302235
Episode #19 Reward: -1709.182198138949, Entropy mean: 0.859438991152759, Entropy std: 0.5795427514392606
Episode #20 Reward: -1241.4431435616953, Entropy mean: 1.092099851767222, Entropy std: 0.2937652555900518
Episode #21 Reward: -1185.8764712099548, Entropy mean: 1.3128322818875313, Entropy std: 0.1801536843835277
Episode #22 Reward: -1170.845214355001, Entropy mean: 0.9873995349804561, Entropy std: 0.36784270557106796
Episode #23 Reward: -942.6348540873754, Entropy mean: 1.1501679461697738, Entropy std: 0.27762785288895736
Episode #24 Reward: -1575.4211402519493, Entropy mean: 1.0450866892188788, Entropy std: 0.39381411048751475
Episode #25 Reward: -1125.1536950918592, Entropy mean: 1.1125226251532634, Entropy std: 0.3282627419419187
Episode #26 Reward: -2046.294195412633, Entropy mean: 0.5469475588956053, Entropy std: 0.4302977867285891
Episode #27 Reward: -1035.773293514879, Entropy mean: 1.116321185976267, Entropy std: 0.2589656483577472
Episode #28 Reward: -1335.4000161220408, Entropy mean: 0.9968962283754567, Entropy std: 0.43608952722257666
Episode #29 Reward: -2249.1856928742836, Entropy mean: 0.7293305827925602, Entropy std: 0.40060188414183034
Episode #30 Reward: -1377.1164238421518, Entropy mean: 1.1452548568447432, Entropy std: 0.2655443752858922
Episode #31 Reward: -1201.5451685193675, Entropy mean: 0.8982598745822906, Entropy std: 0.36216720494093435
Episode #32 Reward: -954.0543939310082, Entropy mean: 1.107002486338218, Entropy std: 0.2612289360484274
Episode #33 Reward: -1957.5907476270431, Entropy mean: 0.7244946891989196, Entropy std: 0.4927590913432194
Episode #34 Reward: -1108.2871802935315, Entropy mean: 0.9519061283022165, Entropy std: 0.310790666405846
Episode #35 Reward: -1179.8457314168427, Entropy mean: 0.6099213758974413, Entropy std: 0.5153949428814218
Episode #36 Reward: -1384.535143433516, Entropy mean: 0.7443970895806948, Entropy std: 0.34983503575358876
Episode #37 Reward: -1154.1157879196967, Entropy mean: 0.6981291036804517, Entropy std: 0.36671424789537443
Episode #38 Reward: -1179.3825991495762, Entropy mean: 0.8132385019828022, Entropy std: 0.48474968740388513
Episode #39 Reward: -923.3055733224446, Entropy mean: 0.6881929311449252, Entropy std: 0.36594800626123064
Episode #40 Reward: -1129.8460666277506, Entropy mean: 0.8859679419182551, Entropy std: 0.4237071841864419
Episode #41 Reward: -888.1310512163274, Entropy mean: 0.950072339566735, Entropy std: 0.43711038752790254
Episode #42 Reward: -1007.2348351369611, Entropy mean: 0.558026996034508, Entropy std: 0.3914274670080941
Episode #43 Reward: -970.0156250979093, Entropy mean: 1.0329002397259077, Entropy std: 0.3191702894237621
Episode #44 Reward: -994.1967766055648, Entropy mean: 0.8420499387010932, Entropy std: 0.33843966024593486
Episode #45 Reward: -836.497448340632, Entropy mean: 0.9781164409220219, Entropy std: 0.29062242772176966
Episode #46 Reward: -1286.0345604986471, Entropy mean: 0.7186807588425775, Entropy std: 0.42091524990217666
Episode #47 Reward: -1246.2117036384413, Entropy mean: 0.9496767348796129, Entropy std: 0.31472799647574223
Episode #48 Reward: -1488.5133763604215, Entropy mean: 0.6095765268678467, Entropy std: 0.36949063759637585
Episode #49 Reward: -1075.862164923399, Entropy mean: 1.1840823240081468, Entropy std: 0.19760691496234847
Episode #50 Reward: -1267.803248857166, Entropy mean: 0.729261259312431, Entropy std: 0.35012254748905225
Episode #51 Reward: -907.3843420551882, Entropy mean: 0.7693303207961435, Entropy std: 0.4917551284229155
Episode #52 Reward: -2092.4061222806786, Entropy mean: 0.4539463389834657, Entropy std: 0.3796127627064336
Episode #53 Reward: -1610.3086873278487, Entropy mean: 0.7770456180783609, Entropy std: 0.30127356230047203
Episode #54 Reward: -944.6620761904579, Entropy mean: 1.1194115388641754, Entropy std: 0.28431973736954747
Episode #55 Reward: -903.2054554405709, Entropy mean: 1.024471382132421, Entropy std: 0.3233391019859688
Episode #56 Reward: -1204.5038754266204, Entropy mean: 0.715311456709945, Entropy std: 0.3853065056442705
Episode #57 Reward: -816.8609513867832, Entropy mean: 0.8791659301519394, Entropy std: 0.3382307177156952
Episode #58 Reward: -1060.461975735466, Entropy mean: 0.5860893354650276, Entropy std: 0.3939836595486588
Episode #59 Reward: -1317.9384217696806, Entropy mean: 0.8368984785342278, Entropy std: 0.3640142216250543
Episode #60 Reward: -1889.4799666037547, Entropy mean: 0.4913862891557316, Entropy std: 0.37863890079392926
Episode #61 Reward: -1181.4517065393284, Entropy mean: 0.6627896769829871, Entropy std: 0.37078043571319697
Episode #62 Reward: -1104.2786601721189, Entropy mean: 0.8856839094124734, Entropy std: 0.311742037272922
Episode #63 Reward: -2152.690832039975, Entropy mean: 0.7434367851540447, Entropy std: 0.24623790437124837
Episode #64 Reward: -1439.4498003619456, Entropy mean: 0.8417147390544415, Entropy std: 0.2791236006022974
Episode #65 Reward: -1722.7466452226715, Entropy mean: 0.7334794734915098, Entropy std: 0.3696199288391915
Episode #66 Reward: -894.3192781793576, Entropy mean: 0.8742924635081242, Entropy std: 0.3729639059225979
Episode #67 Reward: -1458.374216855897, Entropy mean: 0.8626116627641022, Entropy std: 0.355664247557675
Episode #68 Reward: -933.7596072725577, Entropy mean: 0.9782007466008266, Entropy std: 0.2948829919872832
Episode #69 Reward: -1063.4528126804516, Entropy mean: 0.7862801295301567, Entropy std: 0.3061968769923843
Episode #70 Reward: -2610.5298955937983, Entropy mean: 0.7254984901418599, Entropy std: 0.41979814955016354
Episode #71 Reward: -1199.9928711937393, Entropy mean: 0.919220219651858, Entropy std: 0.33917910428370407
Episode #72 Reward: -1265.0489292172176, Entropy mean: 0.8858848600462079, Entropy std: 0.3189199079120236
Episode #73 Reward: -981.3008113805253, Entropy mean: 0.9003635298088193, Entropy std: 0.321656161022478
Episode #74 Reward: -1143.8141392573236, Entropy mean: 0.8444988063226143, Entropy std: 0.3713602804680789
Episode #75 Reward: -1014.2137195797654, Entropy mean: 1.0255786092455188, Entropy std: 0.3166494771341138
Episode #76 Reward: -1022.2769726258074, Entropy mean: 0.8291590819321573, Entropy std: 0.2985752877322685
Episode #77 Reward: -1026.0231739112019, Entropy mean: 0.780569987470905, Entropy std: 0.3529181115138617
Episode #78 Reward: -1090.4542114550318, Entropy mean: 0.8720043913275003, Entropy std: 0.33028447765880253
Episode #79 Reward: -1243.555048976163, Entropy mean: 0.6186709219895905, Entropy std: 0.359266780009468
Episode #80 Reward: -1272.642408811925, Entropy mean: 0.714919559538054, Entropy std: 0.3549634511414819
Episode #81 Reward: -881.9013809039566, Entropy mean: 0.9400646637628476, Entropy std: 0.32902725496840574
Episode #82 Reward: -1365.5354264538162, Entropy mean: 0.6707251801894745, Entropy std: 0.4089785162829317
Episode #83 Reward: -1401.762081775306, Entropy mean: 0.6007278215553379, Entropy std: 0.38076621824365575
Episode #84 Reward: -990.4644237408792, Entropy mean: 0.6380600333291416, Entropy std: 0.423946795777167
Episode #85 Reward: -1339.309296924975, Entropy mean: 0.785869973640268, Entropy std: 0.3710305139644961
Episode #86 Reward: -1189.7786900725273, Entropy mean: 0.6306929367687553, Entropy std: 0.36805002472449533
Episode #87 Reward: -930.6996493949049, Entropy mean: 0.7720818500531217, Entropy std: 0.37692134131477195
Episode #88 Reward: -852.6053034812563, Entropy mean: 0.9106777194018165, Entropy std: 0.3209126058634036
Episode #89 Reward: -1625.30128852063, Entropy mean: 0.7081404375013275, Entropy std: 0.32291396958937835
Episode #90 Reward: -1080.6072052512955, Entropy mean: 0.7566355137948024, Entropy std: 0.41332801914656475
Episode #91 Reward: -1061.0755372417595, Entropy mean: 0.5792797020524206, Entropy std: 0.424011821578597
Episode #92 Reward: -966.4117523416453, Entropy mean: 0.7341473117217295, Entropy std: 0.42152239722566925
Episode #93 Reward: -973.9772043735938, Entropy mean: 0.5146971817832673, Entropy std: 0.4766072678853177
Episode #94 Reward: -2732.7466342352523, Entropy mean: 0.4186348779291961, Entropy std: 0.3650554061710968
Episode #95 Reward: -925.6127641296068, Entropy mean: 0.8718220085278153, Entropy std: 0.3738575193164485
Episode #96 Reward: -1389.8826612364087, Entropy mean: 0.6947459682321642, Entropy std: 0.38205170921133447
Episode #97 Reward: -1253.5466950284053, Entropy mean: 0.3174327866403779, Entropy std: 0.3910275857820659
Episode #98 Reward: -1334.5041689356722, Entropy mean: 0.7172097961940956, Entropy std: 0.3954939663278148
Episode #99 Reward: -1205.3072652986382, Entropy mean: 0.6269635726785054, Entropy std: 0.3662743044572308
Episode #100 Reward: -1334.3236999666344, Entropy mean: 0.6874946842107844, Entropy std: 0.40225768316582533
Episode #101 Reward: -1168.6670007504285, Entropy mean: 0.7943827093640963, Entropy std: 0.3318758742271593
Episode #102 Reward: -1193.7764192226928, Entropy mean: 0.7081938746649151, Entropy std: 0.3911213080062321
Episode #103 Reward: -1232.5996690821069, Entropy mean: 0.8588439539602647, Entropy std: 0.4405145010285841
Episode #104 Reward: -1679.4529120275324, Entropy mean: 0.5291422306672515, Entropy std: 0.3622824139177735
Episode #105 Reward: -887.5468405751533, Entropy mean: 0.8303997415987154, Entropy std: 0.37014507590461504
Episode #106 Reward: -1326.1164148927633, Entropy mean: 0.8240660858464738, Entropy std: 0.31099791151515566
Episode #107 Reward: -1124.7048111261945, Entropy mean: 0.7528556980006397, Entropy std: 0.33980388133357503
Episode #108 Reward: -997.9719679503795, Entropy mean: 0.8616355356698235, Entropy std: 0.3400887516719065
Episode #109 Reward: -1274.1296612997849, Entropy mean: 0.7045344859113296, Entropy std: 0.30536267557672303
Episode #110 Reward: -1520.5944521253332, Entropy mean: 0.654490928517965, Entropy std: 0.34893069512001135
Episode #111 Reward: -1145.5647118783522, Entropy mean: 0.5957207152325039, Entropy std: 0.36033719406013115
Episode #112 Reward: -983.659322993484, Entropy mean: 0.8999944617785514, Entropy std: 0.2781210127480088
Episode #113 Reward: -1169.80503816213, Entropy mean: 0.6347690125901135, Entropy std: 0.37176836802881524
Episode #114 Reward: -973.2329395872874, Entropy mean: 0.7549903693362527, Entropy std: 0.3933099656521487
Episode #115 Reward: -816.1913694682842, Entropy mean: 0.8514397072046995, Entropy std: 0.3211947086112251
Episode #116 Reward: -2417.120495671087, Entropy mean: 0.3483021888229554, Entropy std: 0.351642824077731
Episode #117 Reward: -1412.3023641046177, Entropy mean: 0.5902448739551377, Entropy std: 0.38102565849819703
Episode #118 Reward: -761.4014790054913, Entropy mean: 0.7116786745811502, Entropy std: 0.38595858747273104
Episode #119 Reward: -1793.9507829576883, Entropy mean: 0.570842968315466, Entropy std: 0.38233399592017225
Episode #120 Reward: -1429.234004476865, Entropy mean: 0.495663857915503, Entropy std: 0.3703891104924317
Episode #121 Reward: -1135.2245166318617, Entropy mean: 0.5243953547184356, Entropy std: 0.2881515073007233
Episode #122 Reward: -2033.6268149609332, Entropy mean: 0.5165630361946629, Entropy std: 0.37400802109969633
Episode #123 Reward: -1443.34457719322, Entropy mean: 0.6905455994858252, Entropy std: 0.3684538644674896
Episode #124 Reward: -2359.4864415807037, Entropy mean: 0.2737950276242879, Entropy std: 0.33503161797688685
Episode #125 Reward: -1400.877306497945, Entropy mean: 0.7691260367267144, Entropy std: 0.30627956618766466
Episode #126 Reward: -1799.9734285970508, Entropy mean: 0.5651822489042145, Entropy std: 0.36761507484227157
Episode #127 Reward: -1608.452257546301, Entropy mean: 0.5707545442979146, Entropy std: 0.3743419922433187
Episode #128 Reward: -1241.423669230567, Entropy mean: 0.6145716768627365, Entropy std: 0.3293973530106143
Episode #129 Reward: -1814.2066789179914, Entropy mean: 0.4604908621466408, Entropy std: 0.3069897056219452
Episode #130 Reward: -962.4852870713779, Entropy mean: 0.6529507034954926, Entropy std: 0.3528984321657056
Episode #131 Reward: -1236.599110787201, Entropy mean: 0.5335542360155824, Entropy std: 0.36280165638576223
Episode #132 Reward: -1144.3730385908577, Entropy mean: 0.48553828901067997, Entropy std: 0.4179905756197786
Episode #133 Reward: -1038.3784404100618, Entropy mean: 0.7310276463759753, Entropy std: 0.3532815279405944
Episode #134 Reward: -2411.0565203678166, Entropy mean: 0.38268727108487166, Entropy std: 0.3528846537200549
Episode #135 Reward: -1224.851254404575, Entropy mean: 0.5608447431567766, Entropy std: 0.3857196022037235
Episode #136 Reward: -1259.0894145077157, Entropy mean: 0.42002937279916097, Entropy std: 0.3553472678244632
Episode #137 Reward: -1434.058926242027, Entropy mean: 0.5082720246761315, Entropy std: 0.37372878673698207
Episode #138 Reward: -1199.333885830927, Entropy mean: 0.3949826475294143, Entropy std: 0.35590330172680845
Episode #139 Reward: -1329.686536821125, Entropy mean: 0.5984487467166036, Entropy std: 0.3387666967167143
Episode #140 Reward: -1140.025224050069, Entropy mean: 0.6360743500199169, Entropy std: 0.35783267253365775
Episode #141 Reward: -1145.4519297456307, Entropy mean: 0.5932537153097412, Entropy std: 0.3423338126566941
