Episode #61 Reward: -8123.378602911437, Entropy mean: 0.18682354419800193, Entropy std: 0.3104900638913766
Episode #62 Reward: -9480.2503935932, Entropy mean: 0.12842886016538058, Entropy std: 0.27160762990156995
Episode #63 Reward: -6603.880556451178, Entropy mean: 0.10149145963489875, Entropy std: 0.25336183934805273
Episode #64 Reward: -11077.414391686545, Entropy mean: 0.10805131129441872, Entropy std: 0.26318607381088116
Episode #65 Reward: -13170.72719084652, Entropy mean: 0.1282134936551396, Entropy std: 0.3089681799865624
Episode #66 Reward: -10217.235188988407, Entropy mean: 0.06299528251135897, Entropy std: 0.19379286638077203
Episode #67 Reward: -8708.794176320383, Entropy mean: 0.09215835111701572, Entropy std: 0.22790655586884956
Episode #68 Reward: -16354.727314766678, Entropy mean: 0.0521919122000096, Entropy std: 0.20429001149163772
Episode #69 Reward: -11253.33576244365, Entropy mean: 0.03739399848942993, Entropy std: 0.14560714959005117
Episode #70 Reward: -7021.744440741294, Entropy mean: 0.08936681659897938, Entropy std: 0.2545860279750907
Episode #71 Reward: -10240.409103129557, Entropy mean: 0.057608579036884815, Entropy std: 0.22558063297680392
Episode #72 Reward: -7458.708909431501, Entropy mean: 0.08220710524482645, Entropy std: 0.22543513122210881
Episode #73 Reward: -9698.815196970594, Entropy mean: 0.08766366040668337, Entropy std: 0.2355189948592865
Episode #74 Reward: -7959.684263013794, Entropy mean: 0.0765372713689428, Entropy std: 0.2398024309852992
Episode #75 Reward: -7001.534179133969, Entropy mean: 0.01350231900780922, Entropy std: 0.09832015891448113
Episode #76 Reward: -9019.377176378535, Entropy mean: 0.005072204320268083, Entropy std: 0.0612955993551176
Episode #77 Reward: -6611.614074872133, Entropy mean: 0.012702391990852444, Entropy std: 0.09000862632093758
Episode #78 Reward: -7931.370113321014, Entropy mean: 0.030186069222704448, Entropy std: 0.12701750893574107
Episode #79 Reward: -9433.368453222804, Entropy mean: 0.013437231665042276, Entropy std: 0.09988721942349488
Episode #80 Reward: -7133.2971954129835, Entropy mean: 0.003932348257830067, Entropy std: 0.04549700247695266
Episode #81 Reward: -7808.346020042445, Entropy mean: 0.001346679012603351, Entropy std: 0.023555342523200715
Episode #82 Reward: -12136.373004147968, Entropy mean: 0.032289047528417304, Entropy std: 0.12629755296323514
Episode #83 Reward: -8255.318996179836, Entropy mean: 0.033444347393700266, Entropy std: 0.12787374506382246
Episode #84 Reward: -7247.309289017484, Entropy mean: 0.0029982108776829856, Entropy std: 0.03727298921508669
Episode #85 Reward: -6460.3376657397675, Entropy mean: 1.3379256655240096e-10, Entropy std: 2.2437348920967735e-09
Episode #86 Reward: -7251.435925249641, Entropy mean: 0.0070516693940786464, Entropy std: 0.04924227005229037
Episode #87 Reward: -8018.10427070488, Entropy mean: 0.004511657669945812, Entropy std: 0.05979844563154948
Episode #88 Reward: -11016.025429592803, Entropy mean: 0.005004150259532198, Entropy std: 0.05545443332577368
Episode #89 Reward: -11543.072394319963, Entropy mean: 0.03858338551717898, Entropy std: 0.14960983262903657
Episode #90 Reward: -8346.990844078666, Entropy mean: 0.04365686089105167, Entropy std: 0.16558658303390097
Episode #91 Reward: -7874.558768675378, Entropy mean: 0.03096527838553253, Entropy std: 0.14003588161368097
Episode #92 Reward: -9315.378808831636, Entropy mean: 0.012516142670835178, Entropy std: 0.06914987140641887
Episode #93 Reward: -8828.51937019929, Entropy mean: 0.019390887640190188, Entropy std: 0.09470242776575913
Episode #94 Reward: -7793.885360295445, Entropy mean: 0.006974448113199716, Entropy std: 0.055375559733413904
Episode #95 Reward: -8471.643834763863, Entropy mean: 0.06259860738478819, Entropy std: 0.1886375522817675
Episode #96 Reward: -7967.82829799506, Entropy mean: 0.0614328588660034, Entropy std: 0.1948042778173284
Episode #97 Reward: -7342.181033164437, Entropy mean: 0.03665939472698615, Entropy std: 0.14149241723834585
Episode #98 Reward: -9510.867884213332, Entropy mean: 0.016106473016582242, Entropy std: 0.09267630557631652
Episode #99 Reward: -6857.644198034037, Entropy mean: 0.027565556225383956, Entropy std: 0.13520575971023763
Episode #100 Reward: -7346.949084931465, Entropy mean: 0.06903630050517492, Entropy std: 0.19437135194436603
Episode #101 Reward: -7142.073998737398, Entropy mean: 0.06977594037601993, Entropy std: 0.19734343854346073
Episode #102 Reward: -7552.517209638599, Entropy mean: 0.0690724019973358, Entropy std: 0.2068731681944745
Episode #103 Reward: -9209.76935787867, Entropy mean: 0.058157381987552464, Entropy std: 0.17365636886120364
Episode #104 Reward: -5696.661014897266, Entropy mean: 0.0668559384764225, Entropy std: 0.18338316820405573
Episode #105 Reward: -8248.66087610647, Entropy mean: 0.08899203543494, Entropy std: 0.2506065736350239
Episode #106 Reward: -11437.124702017203, Entropy mean: 0.08966713253915869, Entropy std: 0.2568216294572772
Episode #107 Reward: -14658.003145159295, Entropy mean: 0.05216510462832826, Entropy std: 0.1886666402608834
Episode #108 Reward: -10654.500269597338, Entropy mean: 0.07422621821964093, Entropy std: 0.21860927450152132
Episode #109 Reward: -9027.396182754266, Entropy mean: 0.05326838690998071, Entropy std: 0.19219627769593803
