Episode #61 Reward: -964.4416038580617, Entropy mean: 0.7416172424612039, Entropy std: 0.39333680565287105
Episode #62 Reward: -1057.533878572682, Entropy mean: 0.6181945216011081, Entropy std: 0.43444611092972346
Episode #63 Reward: -1177.827746388414, Entropy mean: 0.9067936234300336, Entropy std: 0.3384569645234132
Episode #64 Reward: -1200.789097480179, Entropy mean: 0.713045341727706, Entropy std: 0.5511602078395881
Episode #65 Reward: -1395.840232766959, Entropy mean: 0.7662920419499278, Entropy std: 0.3066067130806324
Episode #66 Reward: -931.477663657126, Entropy mean: 0.8988970917463303, Entropy std: 0.29935925744080105
Episode #67 Reward: -1172.8113790167804, Entropy mean: 0.5458042809005049, Entropy std: 0.3647842169364062
Episode #68 Reward: -1528.7721854164165, Entropy mean: 0.677641616257218, Entropy std: 0.4108626362807169
Episode #69 Reward: -1271.8592644190583, Entropy mean: 0.6741318160140266, Entropy std: 0.3530281533330121
Episode #70 Reward: -1388.7089536490876, Entropy mean: 0.7135591558134183, Entropy std: 0.3123281779793154
Episode #71 Reward: -863.721339435889, Entropy mean: 0.8937776790000498, Entropy std: 0.35389412989068464
Episode #72 Reward: -1325.6338172437586, Entropy mean: 0.6444895186925609, Entropy std: 0.4150434661134735
Episode #73 Reward: -1315.810161347182, Entropy mean: 0.7574987592423955, Entropy std: 0.378578315408479
Episode #74 Reward: -1337.8950332998845, Entropy mean: 0.8457632848868767, Entropy std: 0.30766994301856665
Episode #75 Reward: -1096.2726555813415, Entropy mean: 0.5969704340536366, Entropy std: 0.491431888920652
Episode #76 Reward: -1314.7339360440953, Entropy mean: 0.4412523902594279, Entropy std: 0.3868603763429588
Episode #77 Reward: -1927.2605974992007, Entropy mean: 0.6359049780651791, Entropy std: 0.3793722344828456
Episode #78 Reward: -1239.431452164871, Entropy mean: 0.7283638887573034, Entropy std: 0.2640821114612523
Episode #79 Reward: -1472.0342284737364, Entropy mean: 0.6434991283825365, Entropy std: 0.29942721676270145
Episode #80 Reward: -1389.569171965721, Entropy mean: 0.8811427727306242, Entropy std: 0.40220566330912194
Episode #81 Reward: -1734.1353745581152, Entropy mean: 0.5977531117356496, Entropy std: 0.4133992937066721
Episode #82 Reward: -1860.591429460952, Entropy mean: 0.6585550536991408, Entropy std: 0.2856788676816543
Episode #83 Reward: -828.9528529516317, Entropy mean: 0.977672169332703, Entropy std: 0.31370636005671965
Episode #84 Reward: -1221.9788955332133, Entropy mean: 0.6946601035725325, Entropy std: 0.29759233694059667
Episode #85 Reward: -1681.2590233134333, Entropy mean: 0.749596967510879, Entropy std: 0.28516731187868055
Episode #86 Reward: -995.5670345616858, Entropy mean: 0.8657675988475482, Entropy std: 0.2939039700335499
Episode #87 Reward: -960.9245637739044, Entropy mean: 0.7888610726676416, Entropy std: 0.31180119290140423
Episode #88 Reward: -1367.380272888419, Entropy mean: 0.7881958164833486, Entropy std: 0.3625938383141636
Episode #89 Reward: -1101.9168495664853, Entropy mean: 0.43083597891651465, Entropy std: 0.3363282347313222
Episode #90 Reward: -1475.8544461701367, Entropy mean: 0.4756245965843963, Entropy std: 0.41575133889915555
Episode #91 Reward: -1236.22020710438, Entropy mean: 0.5592487858056537, Entropy std: 0.3564697257619261
Episode #92 Reward: -1212.1622646419678, Entropy mean: 0.5769821564989009, Entropy std: 0.3557460066882055
Episode #93 Reward: -1272.7218598869974, Entropy mean: 0.4214092732953403, Entropy std: 0.3430339758033584
Episode #94 Reward: -1015.7954593916497, Entropy mean: 0.6610330512649573, Entropy std: 0.31734453063469326
Episode #95 Reward: -1600.919046563057, Entropy mean: 0.5120682616196549, Entropy std: 0.39686545337575596
Episode #96 Reward: -1329.3686641481527, Entropy mean: 0.7520500923175132, Entropy std: 0.4638585285960877
Episode #97 Reward: -1674.7792892842326, Entropy mean: 0.3102373434867089, Entropy std: 0.30639539449345893
Episode #98 Reward: -1672.779721222173, Entropy mean: 0.5959003437073747, Entropy std: 0.37404825891545435
Episode #99 Reward: -1134.5045171404224, Entropy mean: 0.544042779506029, Entropy std: 0.39376273821477475
Episode #100 Reward: -930.8933972722671, Entropy mean: 0.4814683968455925, Entropy std: 0.4263183325692987
Episode #101 Reward: -1264.1674829883552, Entropy mean: 0.3582606615272137, Entropy std: 0.3517615928885655
Episode #102 Reward: -1214.0575337252576, Entropy mean: 0.6783763645624277, Entropy std: 0.35548036772146435
Episode #103 Reward: -999.8826229610885, Entropy mean: 0.7893864058268567, Entropy std: 0.3724509037861259
Episode #104 Reward: -1163.0151397175625, Entropy mean: 0.6280024821062883, Entropy std: 0.3330181802698784
Episode #105 Reward: -1137.800997297483, Entropy mean: 0.8543933624432732, Entropy std: 0.30376696312929474
Episode #106 Reward: -1059.9450177278186, Entropy mean: 0.3801701896857291, Entropy std: 0.37165254880321014
Episode #107 Reward: -1012.2310233812512, Entropy mean: 0.5486483380699793, Entropy std: 0.3862426180777739
Episode #108 Reward: -1275.0393783744912, Entropy mean: 0.4566843608190963, Entropy std: 0.3888211684049496
Episode #109 Reward: -1449.2775636385206, Entropy mean: 0.6879437370567272, Entropy std: 0.28003203174105873
Episode #110 Reward: -1350.2295645748393, Entropy mean: 0.2840478971933915, Entropy std: 0.30893812319536823
Episode #111 Reward: -1521.2696169719927, Entropy mean: 0.6281157865957946, Entropy std: 0.43715727125756454
Episode #112 Reward: -1128.1521727599356, Entropy mean: 0.3609130876098849, Entropy std: 0.35321387895656303
Episode #113 Reward: -1218.8119307308586, Entropy mean: 0.45158395396529594, Entropy std: 0.3465503086239348
Episode #114 Reward: -1322.8870603412163, Entropy mean: 0.6378902803174181, Entropy std: 0.3587459539372945
Episode #115 Reward: -2033.360843024581, Entropy mean: 0.3455407543212315, Entropy std: 0.3526840353845999
Episode #116 Reward: -1617.945773722375, Entropy mean: 0.4894675263650788, Entropy std: 0.3096724314504303
Episode #117 Reward: -914.1352661336856, Entropy mean: 0.6634271621176352, Entropy std: 0.3368802070970053
Episode #118 Reward: -1266.1114335463963, Entropy mean: 0.4610714340059227, Entropy std: 0.354126133531552
Episode #119 Reward: -1387.4805295675549, Entropy mean: 0.43622806103888173, Entropy std: 0.36612966033009703
Episode #120 Reward: -900.7431659750498, Entropy mean: 0.6562351876411449, Entropy std: 0.4104549851045055
Episode #121 Reward: -1477.326409455473, Entropy mean: 0.4051831126620406, Entropy std: 0.36130574539700605
Episode #122 Reward: -1603.2514181254842, Entropy mean: 0.2828418181038442, Entropy std: 0.31937166350359314
Episode #123 Reward: -2061.7749016323887, Entropy mean: 0.27663087273112824, Entropy std: 0.34364009184173305
Episode #124 Reward: -1089.9022626369992, Entropy mean: 0.3530039437898517, Entropy std: 0.3981564684618481
Episode #125 Reward: -1538.3930079709166, Entropy mean: 0.4475204191472276, Entropy std: 0.36042733647507663
Episode #126 Reward: -1739.0500101143891, Entropy mean: 0.5846986830521685, Entropy std: 0.27531760568731506
Episode #127 Reward: -1204.2685457179373, Entropy mean: 0.6902666392930162, Entropy std: 0.33977665484170466
