Episode #61 Reward: -15060.350492757476, Entropy mean: 0.09373463144913464, Entropy std: 0.2963249110178577
Episode #62 Reward: -42804.51170225501, Entropy mean: 0.10746540931699441, Entropy std: 0.329298821024068
Episode #63 Reward: -11112.237209245532, Entropy mean: 0.06376907402061265, Entropy std: 0.2413310364538347
Episode #64 Reward: -28155.89298495164, Entropy mean: 0.028880340170132125, Entropy std: 0.13086462343025243
Episode #65 Reward: -10936.963820140958, Entropy mean: 0.027194073617101876, Entropy std: 0.1430928145782828
Episode #66 Reward: -9756.976639357612, Entropy mean: 0.059235237412343135, Entropy std: 0.2226457030186431
Episode #67 Reward: -13423.028346524357, Entropy mean: 0.04035167867398849, Entropy std: 0.1687584135296131
Episode #68 Reward: -7283.470943062208, Entropy mean: 0.05711051501440358, Entropy std: 0.21708527939014433
Episode #69 Reward: -10537.166361816584, Entropy mean: 0.08356892033223597, Entropy std: 0.29717844515008673
Episode #70 Reward: -19592.07517473155, Entropy mean: 0.07302320938309723, Entropy std: 0.25150981371855075
Episode #71 Reward: -10213.855774524425, Entropy mean: 0.06801059977133507, Entropy std: 0.25259616897724163
Episode #72 Reward: -9144.542966235887, Entropy mean: 0.06569391767706975, Entropy std: 0.24397668476842108
Episode #73 Reward: -12668.286515840215, Entropy mean: 0.08144087694583253, Entropy std: 0.28950362412991687
Episode #74 Reward: -8184.286712104678, Entropy mean: 0.08854960603406653, Entropy std: 0.2898166774080604
Episode #75 Reward: -10107.5584145781, Entropy mean: 0.09285560172532173, Entropy std: 0.3037790580754743
Episode #76 Reward: -8537.118312518594, Entropy mean: 0.10859588256310569, Entropy std: 0.32795273048001433
Episode #77 Reward: -9763.6854663969, Entropy mean: 0.08775018432307395, Entropy std: 0.2859468505858741
Episode #78 Reward: -6296.626444729901, Entropy mean: 0.0808198898397386, Entropy std: 0.27776058812088067
Episode #79 Reward: -8131.136482345108, Entropy mean: 0.08577032641934633, Entropy std: 0.2827351223339146
Episode #80 Reward: -7741.633685113697, Entropy mean: 0.10940708296196948, Entropy std: 0.34680095161180735
