Episode #0 Reward: -1547.7221954236118, Entropy mean: 1.4194181042909622, Entropy std: 0.14035687111320555
Episode #1 Reward: -730.593536212612, Entropy mean: 1.485965111851692, Entropy std: 0.08377039009162296
Episode #2 Reward: -853.8317117792136, Entropy mean: 1.5554948031902314, Entropy std: 0.03926691756703959
Episode #3 Reward: -1043.327258447806, Entropy mean: 1.5509472852945327, Entropy std: 0.04751740123643829
Episode #4 Reward: -623.2687653332682, Entropy mean: 1.5841396751999854, Entropy std: 0.016453951787640426
Episode #5 Reward: -705.3362901363923, Entropy mean: 1.518990431278944, Entropy std: 0.12909925134782022
Episode #6 Reward: -905.8072159713231, Entropy mean: 1.5323234498500824, Entropy std: 0.07600568402521746
Episode #7 Reward: -717.3198904703468, Entropy mean: 1.5170825430750847, Entropy std: 0.07365844411078033
Episode #8 Reward: -771.7988178987446, Entropy mean: 1.461440162807703, Entropy std: 0.1507808173760553
Episode #9 Reward: -1190.1570687671563, Entropy mean: 1.324122386071831, Entropy std: 0.36448782281164
Episode #10 Reward: -1020.1360445488334, Entropy mean: 1.3679213004559279, Entropy std: 0.2716143642312427
Episode #11 Reward: -1727.2531586017908, Entropy mean: 1.1571718760207295, Entropy std: 0.35409496594135825
Episode #12 Reward: -1229.2278662992176, Entropy mean: 1.2134291854500772, Entropy std: 0.38840723916459824
Episode #13 Reward: -1146.8752348159398, Entropy mean: 1.303569614291191, Entropy std: 0.26360201033592867
Episode #14 Reward: -737.8262419027055, Entropy mean: 1.0763593186251819, Entropy std: 0.44056269722020874
Episode #15 Reward: -1430.2370766409415, Entropy mean: 1.402734488248825, Entropy std: 0.1599575007876466
Episode #16 Reward: -1158.2638611011325, Entropy mean: 1.3691771881282329, Entropy std: 0.23954680471960096
Episode #17 Reward: -1847.152403035272, Entropy mean: 1.1332262850180268, Entropy std: 0.32274963146591434
Episode #18 Reward: -1138.5645010166154, Entropy mean: 1.20786067917943, Entropy std: 0.2526364377111039
Episode #19 Reward: -1015.0496223246661, Entropy mean: 1.1790637760981917, Entropy std: 0.4172047837231297
Episode #20 Reward: -625.0067137811076, Entropy mean: 1.1690518998727202, Entropy std: 0.30407619985395623
Episode #21 Reward: -976.0642394583213, Entropy mean: 1.1335021019726992, Entropy std: 0.3804128440790565
Episode #22 Reward: -976.962904579027, Entropy mean: 1.2465798358246685, Entropy std: 0.32419560545084286
Episode #23 Reward: -1319.2300286783563, Entropy mean: 1.3183082601428031, Entropy std: 0.22103569255385894
Episode #24 Reward: -1915.3092940269912, Entropy mean: 1.2766391463205218, Entropy std: 0.32996333766889113
Episode #25 Reward: -1050.0432201849835, Entropy mean: 1.1794441984943114, Entropy std: 0.41058333566932737
Episode #26 Reward: -688.275458381401, Entropy mean: 1.142883872012244, Entropy std: 0.4204785714545076
Episode #27 Reward: -1016.771186548181, Entropy mean: 1.0130598475557053, Entropy std: 0.45649363334896326
Episode #28 Reward: -2012.9958203231815, Entropy mean: 1.1499043113039806, Entropy std: 0.45904389380626004
Episode #29 Reward: -3059.1585866592586, Entropy mean: 1.284446158260107, Entropy std: 0.19730006637639863
Episode #30 Reward: -996.446490798871, Entropy mean: 1.3435629311949016, Entropy std: 0.26942408064756534
Episode #31 Reward: -1327.485220732874, Entropy mean: 1.3821618305146695, Entropy std: 0.15976810544662862
Episode #32 Reward: -2718.0586196565096, Entropy mean: 1.3618964542448522, Entropy std: 0.16474583872170925
Episode #33 Reward: -793.0202935401672, Entropy mean: 1.3354054491966962, Entropy std: 0.3225323239245707
