Episode #0 Reward: -759.1913250156014, Entropy mean: 1.094716140627861, Entropy std: 0.3664468128900707
Episode #1 Reward: -653.6087479384644, Entropy mean: 1.5003540581464767, Entropy std: 0.09250032449743474
Episode #2 Reward: -1374.684591554927, Entropy mean: 1.0914889688044787, Entropy std: 0.4294306457663951
Episode #3 Reward: -905.750321754926, Entropy mean: 1.2966934513300656, Entropy std: 0.2597359166107725
Episode #4 Reward: -940.5229777218219, Entropy mean: 1.0657680213451386, Entropy std: 0.4308497512350148
Episode #5 Reward: -573.4898424622988, Entropy mean: 1.506345543563366, Entropy std: 0.08710982262175036
Episode #6 Reward: -571.7778361895233, Entropy mean: 1.533967724442482, Entropy std: 0.07094732628951048
Episode #7 Reward: -863.6445347741773, Entropy mean: 1.3005356008186937, Entropy std: 0.33887655236453196
Episode #8 Reward: -584.3785984402398, Entropy mean: 1.286056730672717, Entropy std: 0.36479782099112096
Episode #9 Reward: -871.8133832435805, Entropy mean: 1.4314144569635392, Entropy std: 0.09323115250957376
Episode #10 Reward: -1037.860038281281, Entropy mean: 1.4878555598855019, Entropy std: 0.08343199929020079
Episode #11 Reward: -1568.9537945196269, Entropy mean: 1.4919674590229988, Entropy std: 0.06120621555650876
Episode #12 Reward: -960.350795687749, Entropy mean: 1.4658277106285096, Entropy std: 0.06307179916580662
Episode #13 Reward: -849.4553610906387, Entropy mean: 1.3914649787545204, Entropy std: 0.0851987486080232
Episode #14 Reward: -740.3725009611879, Entropy mean: 1.5444020694494247, Entropy std: 0.06710511764369834
Episode #15 Reward: -1672.4966885833007, Entropy mean: 1.3628454685211182, Entropy std: 0.18505207545179908
Episode #16 Reward: -2198.1366300363, Entropy mean: 1.260356962159276, Entropy std: 0.2827927871453422
Episode #17 Reward: -1009.6030597946353, Entropy mean: 1.331048043370247, Entropy std: 0.21359075763011842
Episode #18 Reward: -1114.6198545424143, Entropy mean: 1.2616024725325405, Entropy std: 0.35716906134174514
Episode #19 Reward: -1252.129018196493, Entropy mean: 0.9271915887950672, Entropy std: 0.6007203526586247
Episode #20 Reward: -1224.8337671056383, Entropy mean: 0.8273103811741618, Entropy std: 0.664911322493238
Episode #21 Reward: -1294.1241513709526, Entropy mean: 0.7636734973919449, Entropy std: 0.6203064011979431
Episode #22 Reward: -1353.9932421970425, Entropy mean: 0.6839919547142871, Entropy std: 0.6162247259891088
Episode #23 Reward: -753.4918660554415, Entropy mean: 0.6904106642997544, Entropy std: 0.6332155735278822
Episode #24 Reward: -1299.898827243844, Entropy mean: 0.6262253489412829, Entropy std: 0.5694013698111371
Episode #25 Reward: -964.2587668119679, Entropy mean: 0.4856742820917137, Entropy std: 0.5050050337795936
Episode #26 Reward: -1268.0063597044239, Entropy mean: 0.5206016273765006, Entropy std: 0.5672417143422549
Episode #27 Reward: -975.9822683774705, Entropy mean: 0.7519896547724118, Entropy std: 0.5352446743294411
Episode #28 Reward: -1914.3932712194712, Entropy mean: 0.6654634038815453, Entropy std: 0.6281591589145511
Episode #29 Reward: -1203.6155250719944, Entropy mean: 0.6143555607092814, Entropy std: 0.586115344292396
Episode #30 Reward: -731.7457365206371, Entropy mean: 0.7051061341241075, Entropy std: 0.5496244925744228
