Episode #61 Reward: -449.89517594832375, Entropy mean: 1.3878556682169438, Entropy std: 0.2575986929265936
Episode #62 Reward: -1571.3831174622658, Entropy mean: 1.1455475140362978, Entropy std: 0.3308366268713989
Episode #63 Reward: -439.2163273784678, Entropy mean: 1.540851057767868, Entropy std: 0.0663096616954809
Episode #64 Reward: -671.1609380095441, Entropy mean: 1.5118875044584275, Entropy std: 0.07917040275276041
Episode #65 Reward: -553.7649441858917, Entropy mean: 1.5731532779335975, Entropy std: 0.030146920499067562
Episode #66 Reward: -1285.6727311563404, Entropy mean: 1.5101165235042573, Entropy std: 0.10246275909103764
Episode #67 Reward: -430.32603054974334, Entropy mean: 1.5303832313418388, Entropy std: 0.07557703646320227
Episode #68 Reward: -1083.3348285898205, Entropy mean: 1.4777758166193962, Entropy std: 0.11142757646029922
Episode #69 Reward: -1711.116157599002, Entropy mean: 1.4989333820343018, Entropy std: 0.13593195227473268
Episode #70 Reward: -522.6359411046758, Entropy mean: 1.546734933257103, Entropy std: 0.043098060600379566
Episode #71 Reward: -647.8648544055719, Entropy mean: 1.5803233543038369, Entropy std: 0.03310439533118707
Episode #72 Reward: -1452.0590057601923, Entropy mean: 1.5325883665680886, Entropy std: 0.10195147475332902
Episode #73 Reward: -529.0268417231731, Entropy mean: 1.5509694886207581, Entropy std: 0.01830664532538002
Episode #74 Reward: -1987.639731691137, Entropy mean: 1.501215086877346, Entropy std: 0.13343744428478332
Episode #75 Reward: -2887.5719166210524, Entropy mean: 1.4384021891653538, Entropy std: 0.20870367469148063
Episode #76 Reward: -842.5860036980616, Entropy mean: 1.5693907821178437, Entropy std: 0.031931441771188826
Episode #77 Reward: -500.85800667678814, Entropy mean: 1.5044853821396829, Entropy std: 0.03250894398442478
Episode #78 Reward: -1524.9989902297013, Entropy mean: 1.5376505377888678, Entropy std: 0.09713859134357286
Episode #79 Reward: -1026.1252188319831, Entropy mean: 1.5390279647707938, Entropy std: 0.06944546342734144
Episode #80 Reward: -2010.316627961301, Entropy mean: 1.5067286628484726, Entropy std: 0.13188061931727008
Episode #81 Reward: -1242.8498629243336, Entropy mean: 1.5360537374019623, Entropy std: 0.10467055481798157
Episode #82 Reward: -1875.7697692742977, Entropy mean: 1.4748714876174926, Entropy std: 0.16795119757187296
Episode #83 Reward: -1213.9661189026424, Entropy mean: 1.4499436172842979, Entropy std: 0.11723860825504942
Episode #84 Reward: -818.8215633864584, Entropy mean: 1.4547301399707795, Entropy std: 0.11308187550924753
Episode #85 Reward: -3249.5380209061814, Entropy mean: 1.3892375883460044, Entropy std: 0.3453513470700261
Episode #86 Reward: -1917.8337987579357, Entropy mean: 1.2588834027945994, Entropy std: 0.24532707905136528
Episode #87 Reward: -475.0115472300301, Entropy mean: 1.5360231444239616, Entropy std: 0.10811463904412101
Episode #88 Reward: -608.7969918970664, Entropy mean: 1.4487431563436985, Entropy std: 0.1684613385090084
Episode #89 Reward: -1884.5406414475683, Entropy mean: 1.3575729176402092, Entropy std: 0.23631646694484515
Episode #90 Reward: -940.2929695925213, Entropy mean: 1.560202928185463, Entropy std: 0.0703999807215285
Episode #91 Reward: -2413.0126377963925, Entropy mean: 1.4364675982296466, Entropy std: 0.23795512490202983
Episode #92 Reward: -2704.4550601449673, Entropy mean: 1.3755348958075047, Entropy std: 0.22754880939157157
Episode #93 Reward: -1163.3466276358065, Entropy mean: 1.4670679172873498, Entropy std: 0.1360813884458839
Episode #94 Reward: -1210.7880581899437, Entropy mean: 1.5145660826563836, Entropy std: 0.10450705867370227
Episode #95 Reward: -1748.8051574422936, Entropy mean: 1.431175186187029, Entropy std: 0.168071663768065
Episode #96 Reward: -2229.898251675445, Entropy mean: 1.3665183201432227, Entropy std: 0.1841861972432472
Episode #97 Reward: -1626.0932296837002, Entropy mean: 1.3912019485235214, Entropy std: 0.16606199474723815
Episode #98 Reward: -899.6396195828748, Entropy mean: 1.473418729007244, Entropy std: 0.13113241268902165
Episode #99 Reward: -531.7160126167158, Entropy mean: 1.583076750934124, Entropy std: 0.01838798545397487
Episode #100 Reward: -1740.3547808937626, Entropy mean: 1.407121218442917, Entropy std: 0.15805153261306978
Episode #101 Reward: -2255.266276092649, Entropy mean: 1.3166641640663146, Entropy std: 0.1631732449930444
Episode #102 Reward: -932.8446656221998, Entropy mean: 1.5277768042683602, Entropy std: 0.08832833296861627
Episode #103 Reward: -1208.1659309085396, Entropy mean: 1.5083176881074905, Entropy std: 0.09236282167836207
Episode #104 Reward: -1647.0016988446023, Entropy mean: 1.3802335706353188, Entropy std: 0.1504149236015311
Episode #105 Reward: -853.0225535771207, Entropy mean: 1.5644222530722618, Entropy std: 0.03946004234299026
Episode #106 Reward: -930.0383916264931, Entropy mean: 1.5481658098101616, Entropy std: 0.05741847612753806
Episode #107 Reward: -447.40688360571204, Entropy mean: 1.5994844290614127, Entropy std: 0.006776931985904558
Episode #108 Reward: -899.5693932703566, Entropy mean: 1.5817538353800773, Entropy std: 0.018895877660622003
Episode #109 Reward: -616.5005933214214, Entropy mean: 1.245215559154749, Entropy std: 0.33847266638534346
Episode #110 Reward: -675.4073560539374, Entropy mean: 1.5752645066380502, Entropy std: 0.03289152950317074
Episode #111 Reward: -429.775396888938, Entropy mean: 1.6017550697922707, Entropy std: 0.010041313388158005
Episode #112 Reward: -769.1351770362849, Entropy mean: 1.4001133781671524, Entropy std: 0.27465761615006734
Episode #113 Reward: -612.39566558164, Entropy mean: 1.5552252376079558, Entropy std: 0.059478224246785
Episode #114 Reward: -459.51674396576095, Entropy mean: 1.5779363909363746, Entropy std: 0.03471558769316658
Episode #115 Reward: -597.2585759720134, Entropy mean: 1.4960067182779313, Entropy std: 0.17764411228711266
Episode #116 Reward: -473.28842988894047, Entropy mean: 1.5534465926885606, Entropy std: 0.0781331603800407
Episode #117 Reward: -400.281288909904, Entropy mean: 1.5639177322387696, Entropy std: 0.06758101614781063
Episode #118 Reward: -480.88143996958905, Entropy mean: 1.5984238150715828, Entropy std: 0.01310382813382455
Episode #119 Reward: -360.0021023481736, Entropy mean: 1.4861329516768456, Entropy std: 0.12855181867695029
Episode #120 Reward: -378.3387559527312, Entropy mean: 1.5816617003083229, Entropy std: 0.03105551062439447
Episode #121 Reward: -396.9808022060068, Entropy mean: 1.588920496404171, Entropy std: 0.020866535667837714
Episode #122 Reward: -383.523531116376, Entropy mean: 1.5420383542776108, Entropy std: 0.055114802599730214
Episode #123 Reward: -572.8525681828125, Entropy mean: 1.547200911939144, Entropy std: 0.060909977043528164
Episode #124 Reward: -426.95533367367335, Entropy mean: 1.5835414743423462, Entropy std: 0.025637034876850966
Episode #125 Reward: -448.032360015699, Entropy mean: 1.575616143643856, Entropy std: 0.03170806193325333
Episode #126 Reward: -540.7183726392012, Entropy mean: 1.5878527677059173, Entropy std: 0.017194388034335976
Episode #127 Reward: -443.7063672220243, Entropy mean: 1.575241618156433, Entropy std: 0.038851220648987106
Episode #128 Reward: -527.1925423926571, Entropy mean: 1.5703727650642394, Entropy std: 0.04303299458083356
Episode #129 Reward: -389.35093983806684, Entropy mean: 1.5734823259711266, Entropy std: 0.036500035171614265
Episode #130 Reward: -602.7611492311587, Entropy mean: 1.5657511752843858, Entropy std: 0.04381821002173045
Episode #131 Reward: -540.145451268896, Entropy mean: 1.5583823147416114, Entropy std: 0.053013813540090736
Episode #132 Reward: -401.8576608620485, Entropy mean: 1.601033212542534, Entropy std: 0.005679889691537873
Episode #133 Reward: -416.49256632728026, Entropy mean: 1.5967934018373489, Entropy std: 0.013377033549752108
Episode #134 Reward: -403.24172494333, Entropy mean: 1.5754380598664284, Entropy std: 0.03621897331707594
Episode #135 Reward: -534.5700342323518, Entropy mean: 1.5682153180241585, Entropy std: 0.05149164395919338
Episode #136 Reward: -416.9964584089122, Entropy mean: 1.5714761459827422, Entropy std: 0.03928067299570592
Episode #137 Reward: -370.51027037606906, Entropy mean: 1.5885023808479308, Entropy std: 0.023328230123265254
